, tase , brde , casu , cane , cape , fopa ,lanea, lane , nyfa , prim , crce ,myrmeam, myam , mypi , somo , stbr ,tecu,teat,teim, pope 
bt1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,1,1
bt2,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0
ct1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
ct2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
dt1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0
dt2,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
ft1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0
ft2,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1
gt1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1
gt2,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1
ht1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
ht2,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1
st1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1
st2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
tt1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
tt2,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
