,wl,rhw,rml,rpw,rew,rsl,rfl,rcl,ns,ne,nq,nhypo,nepi,genpred,gen,suggen,seedgen,specpred,diet
tase,0.97,0.68,0.34,0.46,0.2,0.72,0.74,0.2,1,0,3,1,0,0,0,1,0,0,3
brde,0.41,0.97,0.56,0.67,0.18,0.91,0.86,0.36,1,0,2,1,0,0,0,1,0,0,3
casu,1.66,0.61,0.28,0.5,0.18,0.74,0.71,0.2,2,0,,0,1,0,0,1,0,0,3
cane,1.55,0.65,0.26,0.5,0.2,0.78,0.75,0.18,2,0,1,0,1,0,0,1,0,0,3
cape,3.2,0.8,0.29,0.52,0.16,0.7,0.74,0.24,2,0,1,0,1,0,0,1,0,0,3
fopa,2.39,0.55,0.31,0.44,0.17,0.73,0.87,0.24,1,0,3,1,0,0,0,0,1,0,4
lanea,0.65,1,0.49,0.73,0.12,0.73,0.8,0.27,1,0,,1,0,0,0,1,0,0,3
lane,0.91,0.8,0.41,0.55,0.21,0.76,0.89,0.27,1,0,1,1,0,0,0,1,0,0,3
nyfa,0.71,0.72,0.36,0.5,0.2,0.96,1.38,0.27,2,0,,0,1,0,1,0,0,0,2
prim,1.13,0.74,0.44,0.46,0.2,0.95,1.04,0.22,1,0,2,1,0,0,0,1,0,0,3
crce,1,1.03,0.46,0.58,0.22,0.75,0.81,0.27,2,0,3,0,1,0,0,1,0,0,3
myrmeam,0.79,0.92,0.49,0.61,0.07,0.78,0.8,0.22,1,0,1,1,0,0,0,0,1,0,4
myam,1.41,0.81,0.41,0.54,0.16,0.67,0.79,0.31,1,0,,1,0,0,1,0,0,0,2
mypi,1.24,0.76,0.38,0.49,0.16,0.6,0.68,0.25,1,0,,1,0,,,,,,
somo,0.46,0.8,0.45,0.51,0.09,0.66,0.63,0.16,1,0,3,1,0,0,1,0,0,0,2
stbr,1.12,0.73,0.43,0.49,0.11,0.54,0.73,0.22,1,0,1,1,0,0,0,0,0,1,1
tecu,0.67,0.78,0.36,0.51,0.18,0.57,0.63,0.21,1,0,3,1,0,0,0,1,0,0,3
teat,0.83,0.7,0.27,0.75,0.15,0.54,0.64,0.15,1,1,1,1,0,,,,,,
teim,1.02,0.89,0.46,0.57,0.17,0.62,0.74,0.29,1,1,3,1,0,0,1,0,0,0,2
pope,0.98,0.59,0.37,0.46,0.03,0.5,0.51,0.14,2,0,3,0,1,1,0,0,0,0,1
