,Neighborhood,trmt,PLAND,LPI,ED,ENN,SHAPE,IMP,VEGBIOM,VEGHT,BLAB,COMPACT,PLI
bt1,Buckeye,T1,51.35,4.02,525.35,4.36,3.9603,43.9,33.36,16.2,469.52075,2.08,2.8575
bt2,Buckeye,T2,49.21,2.52,578.59,4.61,3.7921,45.37,64.71,36.3,621.362375,1.59,2.3502
ct1,Central,T1,36.44,4.64,332.58,8.35,4.1874,61.03,26.86,16.05,451.4459167,1.77,1.9113
ct2,Central,T2,37.75,3.5,286.2,7.71,4.055,58.89,84.48,40.85,279.7375833,1.68,1.9077
dt1,Detroit Shoreway,T1,35.02,1.69,464.57,5.87,4.3068,62.02,49.98,15.4,543.4741667,1.52,2.3874
dt2,Detroit Shoreway,T2,40.09,6.8,376.13,6.59,4.0732,53.65,200.9,65.7,50.004,1.76,1.7241
ft1,Fairfax,T1,38.99,3.33,379.74,7.04,3.815,56.19,34.87,18.75,480.9648333,2.15,2.1904
ft2,Fairfax,T2,45.88,4.32,300.79,6.95,3.977,51.34,76.4,62.4,46.3005,1.73,1.7249
gt1,Glenville,T1,46.99,6.25,431.86,5.84,3.1849,42.93,27.53,13.75,156.0895,1.72,1.3191
gt2,Glenville,T2,49.38,9.67,475.92,5.46,3.793,46.32,31.06,44.6,232.2080625,1.76,1.3003
ht1,Hough,T1,36.83,3.84,341.39,7.78,3.2886,58.9,35.06,15.2,292.1938333,1.76,1.779
ht2,Hough,T2,50.75,2.97,436.12,5.18,3.2988,44.99,116.14,20.8,336.85225,1.6,1.6016
st1,Slavic Village,T1,36.6,3.5,437.41,6.77,4.2803,48.18,35.71,15.7,258.8395,1.69,1.9236
st2,Slavic Village,T2,39.14,2.93,279.43,6.55,4.359,53.16,55.04,24.4,212.5270625,1.7,2.988
tt1,Tremont,T1,42.25,4.47,297.57,6.29,4.1432,48.53,34.49,17.6,586.0183333,2.01,1.5666
tt2,Tremont,T2,37.44,3.21,342.93,7.72,3.9058,58.77,103.05,22.2,114.0234167,1.93,1.9857
